title,points
Repeat “She sells seashells by the seashore”,5
Have a taste of some random food,5
Have a sip of superalcohol,10
Scream “CEEOOOHH”,10
Tell a joke,10
Ask someone else the time,10
Tell someone else's name aloud,10
Dance,15
Make a cocktail for another person,15
Swap a piece of clothing,15
Make the noises of an animal,15
"Make a motivational speech to someone else (eg, “oh Matte, Pippo is sad, can you go talk to him and tell him that everything will be ok?”)",30
Start a “CEEOOOHH” collective chant,30
"Take a picture of other people (could be you and the witness, with or without Matte)",15
Tell his complete name aloud,15
Drink something red,15
Send a text to someone,15
"Help you find a lost item (be creative, example, “I lost my precious! Help me find it, let's look from the tree”)",20
Make a toast,20
Recite a poem,20
Call someone else's parent,20
Say a proverb in french,20
Hide somewhere in a funny way,20
Sing a song,25
Convince someone to dance,25
Imitate a famous person,25
Start speaking/discussing in rhymes,25
Tell a joke to the crowd at the microphone,25
"Speak with an accent (English, Russian, German, whatever)",25
Give a speech,30
Text an old teacher,30
Do a magic trick,30
Win table tennis,30
Play poker,50
Convince someone to sing a song,35
Have someone else make a toast,40
Eat something spicy,40
Call a restaurant and ask if it is possible to reserve for 100 people; close the call immediately after asking the question.,50
Climb a tree,50
Lose table tennis,50
Have someone else give a speech,60
